PERIODO,ENROL,DESEMPLEO,GRADUADOS,RAND,INGRESOS
1,5501,8.1,9552,0.595541334529927,1923
2,5945,7,9680,0.374121050061838,1961
3,6629,7.3,9731,0.744387777473521,1979
4,7556,7.5,11666,0.30362084912541,2030
5,8716,7,14675,0.438429476280279,2112
6,9369,6.4,15265,0.550445256096163,2192
7,9920,6.5,15484,0.591745736877076,2235
8,10167,6.4,15723,0.326602716073159,2351
9,11084,6.3,16501,0.785231235322613,2411
10,12504,7.7,16890,0.949427963163379,2475
11,13746,8.2,17203,0.41701502508436,2524
12,13656,7.5,17707,0.742231034218866,2674
13,13850,7.4,18108,0.707855648705367,2833
14,14145,8.2,18266,0.76356310649892,2863
15,14888,10.1,19308,0.094721830892822,2839
16,14991,9.2,18224,0.319938087429003,2898
17,14836,7.7,18997,0.635101634816219,3123
18,14478,5.7,19505,0.892384685740308,3195
19,14539,6.5,19800,0.32844641566008,3239
20,14395,7.5,19546,0.848264404284354,3129
21,14599,7.3,19117,0.726221146152395,3100
22,14969,9.2,18774,0.022467917029494,3008
23,15107,10.1,17813,0.017418230345798,2983
24,14831,7.5,17304,0.161334961253064,3069
25,15081,8.8,16756,0.849403510921295,3151
26,15127,9.1,16749,0.714806861549449,3127
27,15856,8.8,16925,0.875364058329234,3179
28,15938,7.8,17231,0.924261878866871,3207
